id	name	changed_fields
f_36955	ラジカセちゃん	ability1,description,abilities[]
f_36943	小さな魔法使いアリー	ability3,ability4,description,abilities[]
f_36960	イブラ改	ability1,ability3,description,abilities[]
f_36949	體育館靴ちゃん	ability2,ability3,ability4,description,abilities[]
f_36937	精霊族の恋人ゲオルゲ	ability1,ability3,description,abilities[]
f_36913	地鬼姫リスベット	ability2,ability3,ability4,description,abilities[]
f_36931	学院特待生サラ	ability1,ability2,ability3,description,abilities[]
f_36919	竜使いブラッドリー	ability1,ability2,description,abilities[]
f_36925	黃金竜	ability1,ability2,ability3,ability4,abilities[]
f_36907	魔術学院教師メル	ability1,ability2,ability3,description,abilities[]
f_36889	獣人姫ローサ	ability2,description,abilities[]
f_36895	薄幸の術師ブリー	ability1,ability3,description,abilities[]
f_36883	ナオミ(着物姿)	ability3,ability4,description,abilities[]
f_36900	菓子職人アリソン	ability1,ability2,ability3,ability4,description,abilities[]
f_36877	ドルーガ改	ability2,ability3,description,abilities[]
f_36853	獣人姫ブリアン	ability1,ability2,ability3,description,abilities[]
f_36864	ラシル改	ability2,ability4,description,abilities[]
f_36841	ロレン(着物姿)	ability2,ability3,ability4,description,abilities[]
f_36859	どりす	ability4,description,abilities[]
f_36870	セイレーン改	ability2,ability3,description,abilities[]
f_36847	酔剣伝承者ムサシ	ability1,ability2,description,abilities[]
f_36805	ヒミコ	ability1,ability2,description,abilities[]
f_36834	メタトロンEX	ability2,ability3,ability4,description,abilities[]
f_36829	配達人ダニエラ	ability1,ability2,ability3,description,abilities[]
f_36799	精霊の踊り子ハル	ability1,ability2,ability4,description,abilities[]
f_36817	祈祷師ナオミ	ability2,ability4,description,abilities[]
f_36781	チョコイルザ	ability1,ability2,ability4,description,abilities[]
f_36775	チョコリヒャルダ	ability1,ability2,ability3,ability4,description,abilities[]
f_36769	チョコロビン	ability2,ability3,description,abilities[]
f_36745	捕食者アルテナ	ability1,ability2,ability3,ability4,description,abilities[]
f_36763	斧使いアビゲイル	ability1,ability2,ability3,ability4,description,abilities[]
f_36757	獣使いダーリーン	ability1,ability2,ability4,description,abilities[]
f_36750	精霊軍師カナリア	ability1,ability2,ability3,ability4,description,abilities[]
f_36715	二槍使いルカ	ability1,ability2,ability4,description,abilities[]
f_36721	神殺しキリアン	ability1,ability2,ability4,description,abilities[]
f_36709	学院劣等生イルザ	ability1,ability2,ability3,description,abilities[]
f_36703	学院首席サンドラ	ability1,ability2,ability4,description,abilities[]
f_36727	おーがたんEX	ability1,ability2,ability3,description,abilities[]
f_36734	ゼクエ改	ability1,description,abilities[]
f_36696	ミストEX	ability3,ability4,description,abilities[]
f_36679	隻眼のウィルマ	ability1,ability2,ability4,description,abilities[]
f_36673	双刀使いドミニカ	ability1,ability2,ability3,description,abilities[]
f_36685	死體製造機ロレン	ability2,ability3,ability4,description,abilities[]
f_36690	タマモEX	ability1,ability2,ability4,description,abilities[]
f_36667	ポセイドン	ability1,ability2,ability3,description,abilities[]
f_36649	スルト	ability2,description,abilities[]
f_36643	ヘラの影	ability1,ability2,ability3,ability4,description,abilities[]
f_36637	地獄の女王ヘラ	ability1,ability2,ability3,description,abilities[]
f_36655	弓の達人ロビン	ability1,ability2,ability3,ability4,description,abilities[]
f_18559	獅子王リヒャルダ	ability2,ability3,description,abilities[]
f_36625	鉄棒さん	ability1,ability2,ability3,description,abilities[]
f_36630	鉄棒しゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36582	カセットテープさん	ability1,ability2,ability3,ability4,description,abilities[]
f_36589	體操服ちゃん	ability1,ability2,ability3,description,abilities[]
f_36577	豚貯金箱ちゃん	ability1,ability2,ability3,description,abilities[]
f_36571	通学鞄ちゃん	ability4,description,abilities[]
f_36595	復讐のポティ	ability1,ability2,ability3,description,abilities[]
f_36607	ラダマンティス	ability1,ability3,ability4,description,abilities[]
f_36497	ランドグリーズⅡ	ability1,ability2,ability3,description,abilities[]
f_36491	ルシフェルEX	ability2,ability3,description,abilities[]
f_36485	Pナイフちゃん	ability1,ability3,description,abilities[]
f_36478	注射器ペンちゃん	ability3,description,abilities[]
f_36467	ミルクチョコちゃん	ability2,ability3,ability4,description,abilities[]
f_36461	しかけ絵本ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36442	クリーナーちゃん	ability1,ability2,description,abilities[]
f_36449	交換日記ちゃん	ability1,ability2,ability3,description,abilities[]
f_36431	あぶらねんどちゃん	ability1,ability2,ability4,description,abilities[]
f_36436	ゲーム電卓ちゃん	ability1,ability2,ability4,description,abilities[]
f_36406	ちりとりちゃん	ability1,ability2,ability3,description,abilities[]
f_36413	はたきちゃん	ability2,ability4,description,abilities[]
f_36388	鉄棒ちゃん	ability1,ability3,ability4,description,abilities[]
f_36401	レコードちゃん	ability2,ability3,description,abilities[]
f_36425	ナディEX	ability1,ability2,ability3,ability4,description,abilities[]
f_36419	モニカEX	ability1,ability2,ability4,description,abilities[]
f_36376	ほうきちゃん	ability1,ability2,ability3,description,abilities[]
f_36358	カレーライスちゃん	ability1,ability2,ability3,description,abilities[]
f_36364	ラインカーちゃん	ability1,description,abilities[]
f_36382	ヨーヨーちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36334	金色折り紙ちゃん	ability2,description,abilities[]
f_36328	銀色折り紙ちゃん	ability1,description,abilities[]
f_36341	貞德EX	ability2,ability4,description,abilities[]
f_36352	ヒュプノス	ability1,ability2,ability4,description,abilities[]
f_36316	ふでばこちゃん	ability1,ability2,description,abilities[]
f_36322	独楽ちゃん	ability1,ability3,description,abilities[]
f_36304	ものさしちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36310	顕微鏡ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36286	Cテープちゃん	ability1,ability2,ability4,description,abilities[]
f_36280	鉛筆Bちゃん	ability1,ability2,ability4,description,abilities[]
f_36244	チョークちゃん	ability2,description,abilities[]
f_36256	銀玉鉄砲ちゃん	ability2,ability3,description,abilities[]
f_10280	フェニックス	description
f_36238	二段式ふでばこちゃん	ability1,ability3,description,abilities[]
f_36250	机ちゃん	ability2,description,abilities[]
f_10250	俊猿ターラカ	ability1,description,abilities[]
f_11317	フレイヤ	ability1,description,abilities[]
f_36226	定規ちゃん	ability1,ability2,ability3,description,abilities[]
f_36232	鉛筆削りちゃん	ability2,description,abilities[]
f_36220	SPC自転車ちゃん	ability1,ability3,ability4,description,abilities[]
f_36214	うわばきちゃん	ability1,ability2,ability4,description,abilities[]
f_10316	女帝蜘蛛タラン	description
f_36196	ハンカチちゃん	ability2,ability3,description,abilities[]
f_36208	赤青えんぴつちゃん	ability2,ability3,ability4,description,abilities[]
f_10304	豊穣神デメテル	ability1,ability2,description,abilities[]
f_36190	ランドセルちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36202	ノートちゃん	ability1,ability2,description,abilities[]
f_10244	禁足魔イネス	ability2,ability3,ability4,description,abilities[]
f_36184	竜神イブラ	ability2,ability3,ability4,description,abilities[]
f_36172	百虎トワイ	ability1,ability2,ability3,description,abilities[]
f_36179	トワイ(獣化)	ability1,ability3,description,abilities[]
f_10190	熾炎の子ミンミ	ability1,ability2,description,abilities[]
f_36131	首なし海賊クラウス	ability1,ability2,ability3,description,abilities[]
f_36125	ナイフ使いボニー	ability1,ability3,description,abilities[]
f_10214	鋼鉄ローラン	ability2,description,abilities[]
f_10298	呪われた宝箱	ability1,description,abilities[]
f_36149	魔女っ獣ポティ	ability2,ability3,ability4,description,abilities[]
f_36136	暗黒公爵カース	ability1,ability3,description,abilities[]
f_31551	霜の使い	description
f_36161	銀竜姫アンジェ	ability1,ability2,ability3,description,abilities[]
f_36167	アンジェ(大人)	ability1,ability3,ability4,description,abilities[]
f_36142	精霊剣客ウォール	ability1,ability2,ability3,description,abilities[]
f_31575	反乱扇動者スケル	ability1,description,abilities[]
f_36118	幽霊船長デストロ	ability1,description,abilities[]
f_36112	黒髭海賊ティーチ	ability2,ability4,description,abilities[]
f_31527	惑わす者バルローン	ability1,description,abilities[]
f_36083	破戒剣ダース	ability1,ability2,ability3,ability4,description,abilities[]
f_36089	破戒剣ダース(骨状態)	ability1,description,abilities[]
f_36076	誉のミルシュ	ability1,ability2,ability3,description,abilities[]
f_31503	人食い巨人ロッド	description
f_36095	永遠の生命イズン	ability2,ability3,ability4,description,abilities[]
f_36101	リンゴの木	ability2,ability3,description,abilities[]
f_36107	愛の女神フリッグ	ability2,ability3,ability4,description,abilities[]
f_31479	追放者ウェイン	ability2,description,abilities[]
f_36065	煌めきのイーナ	ability2,ability4,description,abilities[]
f_31455	無償の愛を持つ者	ability1,ability2,description,abilities[]
f_36053	悪魔使いケルス	ability1,ability2,ability4,description,abilities[]
f_36059	ケルス(悪魔形態)	ability1,ability2,ability4,description,abilities[]
f_31430	狂気の騎士コスタ	description
f_35005	謙遜	ability1,ability2,abilities[]
f_36016	世界樹ラシル	ability2,ability3,ability4,description,abilities[]
f_36035	竜戦姫マイコ	ability1,ability2,ability3,ability4,description,abilities[]
f_36041	マイコ(竜形態)	ability1,ability2,ability4,description,abilities[]
f_36028	親衛隊長ドルーガ	ability1,ability2,description,abilities[]
f_31382	占い師イズミル	ability1,ability2,description,abilities[]
f_36004	双刀千刃ハスハラム	ability3,ability4,description,abilities[]
f_22996	氷柱花ルシフェリア	ability1,ability2,ability4,description,abilities[]
f_36010	狐巫女レナ	ability3,ability4,description,abilities[]
f_22990	名門騎士アルセナ	ability1,ability2,description,abilities[]
f_22978	天使伯ヴァルト	ability2,ability3,ability4,description,abilities[]
f_22984	銃火姫アーマダ	ability1,ability2,ability3,ability4,description,abilities[]
f_22961	執行者ゼクエ	ability1,ability3,ability4,description,abilities[]
f_22967	ゼクエ(悪魔形態)	ability1,ability2,ability3,description,abilities[]
f_31287	ドリフターレビン	ability1,description,abilities[]
f_22972	傭士マーヤ	ability1,ability2,ability4,description,abilities[]
f_22949	聖慈プリルー	description
f_22954	天妃マリエッタ	ability1,ability2,ability3,ability4,description,abilities[]
f_31310	不滅のナターシャ	ability2,description,abilities[]
f_22943	水巫エレミー	ability1,ability2,ability4,description,abilities[]
f_22936	狂乱の貴婦人ベル	ability1,ability3,description,abilities[]
f_31239	地獄の使者ソロ	ability1,description,abilities[]
f_22925	龍使ロレッタ	ability2,ability3,description,abilities[]
f_22931	ロレッタ(竜形態)	ability1,ability2,description,abilities[]
f_22918	闇医師ジャクリン	ability1,ability2,ability3,description,abilities[]
f_31263	ブラッドドラゴン	ability1,description,abilities[]
f_22906	セイレーン	ability1,ability2,ability3,description,abilities[]
f_22912	王の中の王モゼス	ability1,ability3,description,abilities[]
f_31215	武装戦闘集団の長	ability1,ability2,abilities[]
f_22894	ミス・ミュラー	ability2,ability3,description,abilities[]
f_22900	アルフレドJr.	description
f_31191	全知全能のニリス	ability1,ability2,description,abilities[]
f_22846	エイダ・アイリーン	ability1,ability2,ability3,description,abilities[]
f_22852	アリソン・クレア	ability1,ability2,description,abilities[]
f_22858	司教エイミー	ability2,ability3,description,abilities[]
f_31167	戦団長デレク	ability1,ability2,description,abilities[]
f_22889	従者ユリアーナ	ability1,ability2,ability3,description,abilities[]
f_22870	異界チャーリー	ability1,ability2,description,abilities[]
f_22876	チャーリーの影	ability1,description,abilities[]
f_22882	もう一人のチャーリー	ability1,ability2,description,abilities[]
f_22864	魔の女アメリア	ability1,ability2,description,abilities[]
f_31142	機知王ギズボーン	ability1,ability2,description,abilities[]
f_31118	猛怒竜アジュダハ	ability1,description,abilities[]
f_22841	漆黒のヘルミザリ	ability2,ability3,ability4,description,abilities[]
f_22834	剣獄のガディア	ability2,ability3,description,abilities[]
f_22822	堕剣ヘルリエン	ability1,ability2,ability3,ability4,description,abilities[]
f_31070	深淵の悪鬼レーグ	ability1,description,abilities[]
f_31094	徴魂司アルタリ	ability1,description,abilities[]
f_22799	秩序メイ・リン	ability2,ability3,description,abilities[]
f_22810	連突ダ・シンバ	ability1,description,abilities[]
f_22816	業炎ラ・ミア	ability2,description,abilities[]
f_31046	玲蝶女王ナリッサ	ability1,ability2,ability3,description,abilities[]
f_31022	神鋒アイギス	ability1,ability2,description,abilities[]
f_22769	裁く者マアト	ability1,ability2,ability3,description,abilities[]
f_22774	護る者ワジェト	description
f_22786	恨む者セクメト	description
f_22793	魅惑のエミリア	ability1,ability2,ability3,description,abilities[]
f_22756	死神デューク	ability1,ability2,ability3,description,abilities[]
f_22762	痛恨のルシエル	ability1,ability3,description,abilities[]
f_22733	疾駆の勇士ルフラン	ability1,ability2,ability3,description,abilities[]
f_22738	羽衣天女レイア	ability1,ability2,ability3,description,abilities[]
f_22744	神聖学者マリーン	ability1,ability2,description,abilities[]
f_13214	贖罪のアレグレン	ability1,ability2,description,abilities[]
f_22727	ふぇりす	ability1,ability2,description,abilities[]
f_22714	かえで	description
f_22720	ほたる	ability1,ability2,description,abilities[]
f_22697	セリナ	ability2,ability4,description,abilities[]
f_22702	ルウカ	ability2,description,abilities[]
f_22708	ラミア	ability1,ability2,description,abilities[]
f_22685	ククリヒメEX	ability1,ability2,description,abilities[]
f_22690	振り袖のサキEX	ability1,ability2,ability3,description,abilities[]
