id	name	field	before	after
f_37265	アメミット	ability2	貪6:每回合、周囲1格影(5/5/12/怒/喰6/暗器2/諜報2/小粋2)1體召喚。最大1體。	貪6:每回合，周囲1格影(5/5/12/怒/喰6/暗器2/諜報2/小粋2)1體召喚。最大1體。
f_37265	アメミット	ability3	暗器2:每回合、敵英雄1人物理傷害2。	暗器2:每回合，敵英雄1人物理傷害2。
f_37265	アメミット	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:。
f_37271	アメミットの影	ability2	喰6:每回合、周囲1格(3/6/13/吸血/貪6/暗器2/死囁3/安魂曲)1體召喚。最大1體。	喰6:每回合，周囲1格(3/6/13/吸血/貪6/暗器2/死囁3/安魂曲)1體召喚。最大1體。
f_37271	アメミットの影	ability3	暗器2:每回合、敵英雄1人物理傷害2。	暗器2:每回合，敵英雄1人物理傷害2。
f_37271	アメミットの影	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:影。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:影。
f_37295	チェルシーEX	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:EX。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:EX。
f_37259	サマエル	ability3	末日:全敵士兵賦予:每回合、暗黒傷害3。	末日:全敵士兵獲得:每回合，暗黒傷害3。
f_37259	サマエル	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:薩麥爾。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:薩麥爾。
f_37277	役小角	ability2	沸血巨人召喚:每回合、周囲1格内沸血(3/1/6/沸立血/底力)召喚。最大2體。捕食対象。	沸血巨人召喚:每回合，周囲1格内沸血(3/1/6/沸立血/底力)召喚。最大2體。捕食目標。
f_37277	役小角	ability3	召喚者防衛:全友方士兵身辺警護賦予:戰場時、召喚者傷害代受到。	召喚者防衛:全友方士兵身辺警護獲得:戰場時、召喚者傷害代受到。
f_37277	役小角	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:役小角。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:役小角。
f_37283	渾沌	ability1	沌誕6:全友方士兵混沌芽6賦予:死亡時、1度混沌(8/18/14/破甲/虚無障壁/炎上5/使役代償3/全反射)変。	沌誕6:全友方士兵混沌芽6獲得:死亡時、1度混沌(8/18/14/破甲/虚無障壁/炎上5/使役代償3/全反射)変。
f_37283	渾沌	ability2	穢4:每回合、敵英雄1人暗黒傷害4。	穢4:每回合，敵英雄1人暗黒傷害4。
f_37283	渾沌	ability3	穢4:每回合、敵英雄1人暗黒傷害4。	穢4:每回合，敵英雄1人暗黒傷害4。
f_37283	渾沌	ability4	穢4:每回合、敵英雄1人暗黒傷害4。	穢4:每回合，敵英雄1人暗黒傷害4。
f_37283	渾沌	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:渾沌。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:渾沌。
f_37253	ケルス改	ability2	恐:傷害対象士兵敵前逃亡賦予:攻擊不能。敵控制。2回合持續。	恐:受傷士兵敵前逃亡獲得:攻擊不能。敵控制。2回合持續。
f_37253	ケルス改	ability3	魍魎:全友方士兵吸血状態賦予:攻擊時、傷害同量自分治療。	魍魎:全友方士兵吸血状態獲得:攻擊時、傷害同量自分治療。
f_37253	ケルス改	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:改。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:改。
f_37247	雪女	ability1	白銀嵐:全敵士兵敵英雄攻擊。敵方傷害減免無視。傷害対象後退2格。	白銀嵐:全敵士兵敵英雄攻擊。敵方傷害減免無視。傷害目標後退2格。
f_37247	雪女	ability3	聖療風:全友方士兵聖療状態賦予:傷害與時、召喚者傷害同数値治療。	聖療風:全友方士兵聖療状態獲得:傷害與時、召喚者傷害同数値治療。
f_37247	雪女	ability4	薄魂5:每回合、神聖傷害5。	薄魂5:每回合，神聖傷害5。
f_37247	雪女	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:雪女。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:雪女。
f_37241	フルフル	ability1	射程+3、目標以及該十字内全敵士兵英雄攻擊。傷害対象次回合火炎傷害1。	射程+3、目標以及該十字内全敵士兵英雄攻擊。傷害目標次回合火炎傷害1。
f_37241	フルフル	ability2	直撃4:每回合、敵英雄1人火炎傷害4。	直撃4:每回合，敵英雄1人火炎傷害4。
f_37241	フルフル	ability3	火呪5:首次行動時、全敵士兵使役代償5賦予:每回合、召喚者火炎傷害5。3回合持續。	火呪5:首次行動時、全敵士兵使役代償5獲得:每回合，召喚者火炎傷害5。3回合持續。
f_37241	フルフル	ability4	託宣2:每回合、召喚者準備欄内全技能卡牌待機値-2。	託宣2:每回合，召喚者準備欄内全技能卡牌待機値-2。
f_37241	フルフル	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:。
f_37235	サンタブラッドリー	ability1	每回合、周囲1格内(1/0/1/壁/不思議卵)1體召喚。	每回合，周囲1格内(1/0/1/壁/不思議卵)1體召喚。
f_37235	サンタブラッドリー	ability2	癒顔:周囲1格内停止敵士兵忘却賦予:全能力失。	癒顔:周囲1格内停止敵士兵忘却獲得:全能力失。
f_37235	サンタブラッドリー	ability4	使役代償3:每回合、召喚者火炎傷害3。	使役代償3:每回合，召喚者火炎傷害3。
f_37235	サンタブラッドリー	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:。
f_37229	サンタポセイドン	ability1	邪念光3:味方全士兵邪念3賦予:死亡時、敵英雄暗黒傷害3。	邪念光3:味方全士兵邪念3獲得:死亡時、敵英雄暗黒傷害3。
f_37229	サンタポセイドン	ability2	騎士召喚6:每回合、周囲1格内最後騎士(5/4/10/貫通/使役代償3/沸立血/洛基靴/重甲6)1體召喚。最大3體。	騎士召喚6:每回合，周囲1格内最後騎士(5/4/10/貫通/使役代償3/沸立血/洛基靴/重甲6)1體召喚。最大3體。
f_37229	サンタポセイドン	ability3	使役代償3:每回合、召喚者火炎傷害3。	使役代償3:每回合，召喚者火炎傷害3。
f_37229	サンタポセイドン	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:。
f_37217	チョコスナックさん	ability2	力天使召喚:每回合、周囲1格内光力天使(1/4/2/天使/長槍/自己犠牲)1體召喚。最大1體。	力天使召喚:每回合，周囲1格内光力天使(1/4/2/天使/長槍/自己犠牲)1體召喚。最大1體。
f_37217	チョコスナックさん	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:。
f_37211	けん玉ちゃん	ability2	守護崩:傷害対象士兵空賦予:被物理傷害×2。2回合持續。	守護崩:受傷士兵空獲得:被物理傷害×2。2回合持續。
f_37211	けん玉ちゃん	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:玉。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:玉。
f_37199	クレヨンちゃん	ability1	私描最強6:首次行動時、周囲1格(悪魔形態)(★6)、王子喬(★6)、捕食者阿爾特娜(★6)、人工南瓜(★6)隨機1體召喚。捕食非対象。	私描最強6:首次行動時、周囲1格(悪魔形態)(★6)、王子喬(★6)、捕食者阿爾特娜(★6)、人工南瓜(★6)隨機1體召喚。捕食非目標。
f_37199	クレヨンちゃん	ability2	癒顔:周囲1格内停止敵士兵忘却賦予:全能力失。	癒顔:周囲1格内停止敵士兵忘却獲得:全能力失。
f_37199	クレヨンちゃん	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:。
f_36563	プリンス・ジョー	ability3	恋人:傷害対象魅了、恋人賦予。1回合持續。	恋人:傷害目標魅了、恋人獲得。1回合持續。
f_36563	プリンス・ジョー	ability4	嫉妬:每回合、隨機射程内敵士兵1體嫉妬心賦予:[自身HP]1。5回合持續。	嫉妬:每回合，隨機射程内敵士兵1體嫉妬心獲得:[自身HP]1。5回合持續。
f_36563	プリンス・ジョー	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:王子喬。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:王子喬。
f_37205	スピーカーちゃん	ability2	英雄躯2:每回合、周囲1格隊長(3/4/5/骸骨/邪念3)2體召喚。最大2體。捕食対象。	英雄躯2:每回合，周囲1格隊長(3/4/5/骸骨/邪念3)2體召喚。最大2體。捕食目標。
f_37205	スピーカーちゃん	ability3	闘志2:冥霊:味方全冥霊士兵闘志2賦予:傷害與時攻擊力+2。	闘志2:冥霊:味方全冥霊士兵闘志2獲得:傷害與時攻擊+2。
f_37205	スピーカーちゃん	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:。
f_37222	イーナ改	ability2	物理護盾5:首次行動時、自身全友方士兵物理壁賦予:被物理傷害0減免。自身先於行動終士兵5回合持續。自身之後行動士兵4回合持續。	物理護盾5:首次行動時、自身全友方士兵物理壁獲得:被物理傷害0減免。自身先於行動終士兵5回合持續。自身之後行動士兵4回合持續。
f_37222	イーナ改	ability3	精神支配2:100%機率傷害対象士兵魅了。2回合持續。	精神支配2:100%機率受傷士兵魅了。2回合持續。
f_37222	イーナ改	ability4	震撃:傷害対象後退7格。	震撃:傷害目標後退7格。
f_37222	イーナ改	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:改。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:改。
f_37169	砂場ちゃん	ability1	熱風:射程+2、敵方傷害減免無視。傷害対象後退2格。傷害対象次回合火炎傷害1。	熱風:射程+2、敵方傷害減免無視。傷害目標後退2格。傷害目標次回合火炎傷害1。
f_37169	砂場ちゃん	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:砂場。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:砂場。
f_37163	はさみちゃん	ability2	水晶爪:敵英雄場召喚士兵対、重傷賦予:全被傷害×2。5回合持續。	水晶爪:敵英雄場召喚士兵対、重傷獲得:全被傷害×2。5回合持續。
f_37163	はさみちゃん	ability3	斬捨3:自身召喚者味方英雄場召喚士兵最強賦予:士兵對傷害與敵方致死傷害受到。3回合持續。	斬捨3:自身召喚者味方英雄場召喚士兵最強獲得:士兵對傷害與敵方致死傷害受到。3回合持續。
f_37163	はさみちゃん	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:。
f_37175	三角フラスコさん	ability3	7:首次行動時、敵英雄1名牌庫機械塔(2/0/2/硬度10壁/再編成/代償召喚)7枚賦予。	7:首次行動時、敵英雄1名牌庫機械塔(2/0/2/硬度10壁/再編成/代償召喚)7枚獲得。
f_37175	三角フラスコさん	ability4	節制3:每回合近接傷害3。傷害受到時、攻擊力+3。	節制3:每回合近接傷害3。傷害受傷時、攻擊+3。
f_37175	三角フラスコさん	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:三角。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:三角。
f_37181	機械塔	ability1	硬度10壁:移動不能、攻擊不能。壁系。非対象。	硬度10壁:移動不能、攻擊不能。壁系。非目標。
f_37181	機械塔	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:機械塔。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:機械塔。
f_37187	ポークビーンズさん	ability1	火炎弾:射程+2、傷害対象次回合火炎傷害1。	火炎弾:射程+2、傷害目標次回合火炎傷害1。
f_37187	ポークビーンズさん	ability2	癒顔:周囲1格内停止敵士兵忘却賦予:全能力失。	癒顔:周囲1格内停止敵士兵忘却獲得:全能力失。
f_37187	ポークビーンズさん	ability3	滋養強壮:每回合、全友方士兵弱體状態解除。	滋養強壮:每回合，全友方士兵弱體状態解除。
f_37187	ポークビーンズさん	ability4	主君10:每回合、召喚者傷害10治療。	主君10:每回合，召喚者傷害10治療。
f_37187	ポークビーンズさん	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:。
f_37192	邪教徒シン	ability2	説得:傷害対象士兵生贄祭祀賦予:每回合、友方士兵1體生贄賦予。3回合持續。	説得:受傷士兵生贄祭祀獲得:每回合，友方士兵1體生贄獲得。3回合持續。
f_37192	邪教徒シン	ability3	擊退4:傷害対象後退4格。	擊退4:傷害目標後退4格。
f_37192	邪教徒シン	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:邪教徒。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:邪教徒。
f_37145	ゴム飛びちゃん	ability3	自暴自棄:全敵士兵呪賦予:傷害與時、自分自身[自身攻擊力]1回攻擊。	自暴自棄:全敵士兵呪獲得:傷害與時、自分自身[自身攻擊力]1回攻擊。
f_37145	ゴム飛びちゃん	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:飛。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:飛。
f_37133	黒板消しちゃん	ability2	增加效果破壊:每回合、100%機率隨機敵1體補助效果一打消。	增加效果破壊:每回合，100%機率隨機敵1體補助效果一打消。
f_37133	黒板消しちゃん	ability3	緊張5:首次行動時、全敵士兵石化。石化士兵全基本能力失、HP+14。壁属性賦予:移動以及攻擊不能。5回合持續。	緊張5:首次行動時、全敵士兵石化。石化士兵全基本能力失、HP+14。壁属性獲得:移動以及攻擊不能。5回合持續。
f_37133	黒板消しちゃん	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:黒板消。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:黒板消。
f_37151	マイコ改	ability1	蛇鞭:射程+1。友方士兵数敵士兵数多時、攻擊力+3。	蛇鞭:射程+1。友方士兵数敵士兵数多時、攻擊+3。
f_37151	マイコ改	ability2	下僕召喚6:每回合、周囲1格狂気騎士(1/14/5/疾駆/喪心5)1體召喚。最大1體。捕食非対象。	下僕召喚6:每回合，周囲1格狂気騎士(1/14/5/疾駆/喪心5)1體召喚。最大1體。捕食非目標。
f_37151	マイコ改	ability3	生血3:士兵死亡時、攻擊力+3。	生血3:士兵死亡時、攻擊+3。
f_37151	マイコ改	ability4	竜変化2改:死亡時、改(竜形態)(13/6/21/火竜召喚/首領:竜族/落雷光10/闘志2:竜族)変。	竜変化2改:死亡時、改(竜形態)(13/6/21/火竜召喚/Boss:竜族/落雷光10/闘志2:竜族)変。
f_37151	マイコ改	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:改。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:改。
f_37157	マイコ改(竜形態)	ability1	火竜召喚:每回合、周囲1格★2炎幼竜、★3炎竜人、★4火炎翼竜、★5炎側近隨機1體召喚。捕食対象。	火竜召喚:每回合，周囲1格★2炎幼竜、★3炎竜人、★4火炎翼竜、★5炎側近隨機1體召喚。捕食目標。
f_37157	マイコ改(竜形態)	ability2	首領:竜族:戰場内味方竜族士兵1體存在毎、攻擊力+1、HP+3。	Boss:竜族:戰場内味方竜族士兵1體存在毎、攻擊力+1、HP+3。
f_37157	マイコ改(竜形態)	ability3	落雷光10:味方全士兵落雷10賦予:每回合、隨機1名敵方士兵或英雄雷傷害10。	落雷光10:味方全士兵落雷10獲得:每回合，隨機1名敵方士兵或英雄雷傷害10。
f_37157	マイコ改(竜形態)	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:改(竜形態)。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:改(竜形態)。
f_37139	算数セットちゃん	ability1	射程+4。目標以及該後方1格敵士兵英雄攻擊。傷害対象治療受。10回合持續。	射程+4。目標以及該後方1格敵士兵英雄攻擊。傷害目標治療受。10回合持續。
f_37139	算数セットちゃん	ability2	落日時2:2回合1回、隨機敵士兵1體残酷運命賦予:行動結束時死亡。2回合持續。	落日時2:2回合1回、隨機敵士兵1體残酷運命獲得:行動結束時死亡。2回合持續。
f_37139	算数セットちゃん	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:算数。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:算数。
f_37127	鉛筆HBちゃん	ability1	魔法護盾4:首次行動時、自身全友方士兵魔法壁賦予:被魔法傷害0減免。自身先於行動終士兵5回合持續。自身之後行動士兵4回合持續。	魔法護盾4:首次行動時、自身全友方士兵魔法壁獲得:被魔法傷害0減免。自身先於行動終士兵5回合持續。自身之後行動士兵4回合持續。
f_37127	鉛筆HBちゃん	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:鉛筆HB。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:鉛筆HB。
f_36997	消しゴムちゃん	ability1	封殺剣蒼:敵方傷害減免無視。傷害対象士兵忘却賦予:全能力失。1回合持續。	封殺剣蒼:敵方傷害減免無視。受傷士兵忘却獲得:全能力失。1回合持續。
f_36997	消しゴムちゃん	ability2	消去:敵英雄場召喚士兵戦闘放棄賦予:全所持能力失。壁属性賦予移動以及攻擊不能。自身行動開始時召喚者準備欄返回。2回合持續。	消去:敵英雄場召喚士兵戦闘放棄獲得:全所持能力失。壁属性獲得移動以及攻擊不能。自身行動開始時召喚者準備欄返回。2回合持續。
f_36997	消しゴムちゃん	ability4	闘志2:傷害與時攻擊力+2。	闘志2:傷害與時攻擊+2。
f_36997	消しゴムちゃん	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:消。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:消。
f_37103	プロフィール帳さん	ability3	傷害対象士兵魅了。1回合持續。傷害受到時、攻擊者魅了。2回合持續。傷害受到時、攻擊者同数値傷害與。	受傷士兵魅了。1回合持續。傷害受傷時、攻擊者魅了。2回合持續。傷害受傷時、攻擊者同数値傷害與。
f_37103	プロフィール帳さん	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:帳。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:帳。
f_37120	グルナラEX	ability1	毒矢3:射程+3。傷害対象毒状態、每回合暗黒傷害3。5回合持續。弓矢系。	毒矢3:射程+3。傷害目標毒状態、每回合暗黒傷害3。5回合持續。弓矢系。
f_37120	グルナラEX	ability2	陣:每回合、周囲1格★3小悪魔、★3、★3邪眼魔、★3山羊頭魔兵隨機1體召喚。捕食非対象。	陣:每回合，周囲1格★3小悪魔、★3、★3邪眼魔、★3山羊頭魔兵隨機1體召喚。捕食非目標。
f_37120	グルナラEX	ability4	闘志2:悪魔:味方全悪魔士兵闘志2賦予:傷害與時攻擊力+2。	闘志2:悪魔:味方全悪魔士兵闘志2獲得:傷害與時攻擊+2。
f_37120	グルナラEX	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:EX。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:EX。
f_37115	サインペンちゃん	ability2	雷閃:傷害対象無法行動。1回合持續。	雷閃:傷害目標無法行動，持續1回合。
f_37115	サインペンちゃん	ability3	使役5:首次行動時、全敵士兵使役代償5賦予:每回合、召喚者火炎傷害5。5回合持續。	使役5:首次行動時、全敵士兵使役代償5獲得:每回合，召喚者火炎傷害5。5回合持續。
f_37115	サインペンちゃん	ability4	減速2:每回合、敵英雄準備欄内卡牌中隨機待機値+2。	減速2:每回合，敵英雄準備欄内卡牌中隨機待機値+2。
f_37115	サインペンちゃん	description	從:immortalchicks:card_viewer 匯入（elite=1, group=new）。原始卡名:。	從:immortalchicks:card_viewer 匯入（elite=1，group=new）。原始卡名:。
