id	name_before	name_after	changed_fields
f_37151	マイコ改	マイコ改	ability1,ability2,ability3,ability4,description,abilities[]
f_37157	マイコ改(竜形態)	マイコ改(竜形態)	ability1,ability2,ability3,description,abilities[]
f_37139	算数セットちゃん	算数セットちゃん	ability1,ability2,ability3,description,abilities[]
f_37127	鉛筆HBちゃん	鉛筆HBちゃん	ability1,ability2,ability3,description,abilities[]
f_36997	消しゴムちゃん	消しゴムちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_37103	プロフィール帳さん	プロフィール帳さん	ability1,ability2,ability3,ability4,description,abilities[]
f_37120	グルナラEX	グルナラEX	ability1,ability2,ability3,ability4,description,abilities[]
f_37115	サインペンちゃん	サインペンちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_37109	黒板ちゃん	黒板ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36979	コンパスちゃん	コンパスちゃん	ability1,ability2,ability3,description,abilities[]
f_36967	不死身のジェラルド	不死身のジェラルド	ability1,ability2,ability3,ability4,description,abilities[]
f_36985	ラブレターちゃん	ラブレターちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36973	血まみれシャリー	血まみれシャリー	ability1,ability2,ability3,ability4,description,abilities[]
f_36990	ダース改	ダース改	ability1,ability2,ability3,ability4,description,abilities[]
f_36955	ラジカセちゃん	ラジカセちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36943	小さな魔法使いアリー	小さな魔法使いアリー	ability1,ability2,ability3,ability4,description,abilities[]
f_36960	イブラ改	イブラ改	ability1,ability2,ability3,description,abilities[]
f_36949	體育館靴ちゃん	體育館靴ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36937	精霊族の恋人ゲオルゲ	精霊族の恋人ゲオルゲ	ability1,ability2,ability3,description,abilities[]
f_36913	地鬼姫リスベット	地鬼姫リスベット	ability1,ability2,ability3,ability4,description,abilities[]
f_36931	学院特待生サラ	学院特待生サラ	ability1,ability2,ability3,ability4,description,abilities[]
f_36919	竜使いブラッドリー	竜使いブラッドリー	ability1,ability2,description,abilities[]
f_36925	黃金竜	黃金竜	ability1,ability2,ability3,ability4,description,abilities[]
f_36907	魔術学院教師メル	魔術学院教師メル	ability1,ability2,ability3,ability4,description,abilities[]
f_36889	獣人姫ローサ	獣人姫ローサ	ability1,ability2,ability3,description,abilities[]
f_36895	薄幸の術師ブリー	薄幸の術師ブリー	ability1,ability2,ability3,ability4,description,abilities[]
f_36883	ナオミ(着物姿)	ナオミ(着物姿)	ability1,ability2,ability3,ability4,description,abilities[]
f_36900	菓子職人アリソン	菓子職人アリソン	ability1,ability2,ability3,ability4,description,abilities[]
f_36877	ドルーガ改	ドルーガ改	ability1,ability2,ability3,description,abilities[]
f_36853	獣人姫ブリアン	獣人姫ブリアン	ability1,ability2,ability3,description,abilities[]
f_36864	ラシル改	ラシル改	ability1,ability2,ability3,ability4,description,abilities[]
f_36841	ロレン(着物姿)	ロレン(着物姿)	ability1,ability2,ability3,ability4,description,abilities[]
f_36859	どりす	どりす	ability1,ability2,ability3,ability4,description,abilities[]
f_36870	セイレーン改	セイレーン改	ability1,ability2,ability3,ability4,description,abilities[]
f_36847	酔剣伝承者ムサシ	酔剣伝承者ムサシ	ability1,ability2,ability3,description,abilities[]
f_36805	ヒミコ	ヒミコ	ability1,ability2,ability3,description,abilities[]
f_36834	メタトロンEX	メタトロンEX	ability1,ability2,ability3,ability4,description,abilities[]
f_36829	配達人ダニエラ	配達人ダニエラ	ability1,ability2,ability3,description,abilities[]
f_36799	精霊の踊り子ハル	精霊の踊り子ハル	ability1,ability2,ability3,ability4,description,abilities[]
f_36817	祈祷師ナオミ	祈祷師ナオミ	ability1,ability2,ability3,ability4,description,abilities[]
f_36781	チョコイルザ	チョコイルザ	ability1,ability2,ability3,ability4,description,abilities[]
f_36775	チョコリヒャルダ	チョコリヒャルダ	ability1,ability2,ability3,ability4,description,abilities[]
f_36769	チョコロビン	チョコロビン	ability1,ability2,ability3,ability4,description,abilities[]
f_36745	捕食者アルテナ	捕食者アルテナ	ability1,ability2,ability3,ability4,description,abilities[]
f_36763	斧使いアビゲイル	斧使いアビゲイル	ability1,ability2,ability3,ability4,description,abilities[]
f_36757	獣使いダーリーン	獣使いダーリーン	ability1,ability2,ability3,ability4,description,abilities[]
f_36750	精霊軍師カナリア	精霊軍師カナリア	ability1,ability2,ability3,ability4,description,abilities[]
f_36715	二槍使いルカ	二槍使いルカ	ability1,ability2,ability3,ability4,description,abilities[]
f_36721	神殺しキリアン	神殺しキリアン	ability1,ability2,ability3,ability4,description,abilities[]
f_36709	学院劣等生イルザ	学院劣等生イルザ	ability1,ability2,ability3,ability4,description,abilities[]
f_36703	学院首席サンドラ	学院首席サンドラ	ability1,ability2,ability3,ability4,description,abilities[]
f_36727	おーがたんEX	おーがたんEX	ability1,ability2,ability3,description,abilities[]
f_36734	ゼクエ改	ゼクエ改	ability1,ability2,ability3,ability4,description,abilities[]
f_36696	ミストEX	ミストEX	ability1,ability2,ability3,ability4,description,abilities[]
f_36679	隻眼のウィルマ	隻眼のウィルマ	ability1,ability2,ability3,ability4,description,abilities[]
f_36673	双刀使いドミニカ	双刀使いドミニカ	ability1,ability2,ability3,description,abilities[]
f_36685	死體製造機ロレン	死體製造機ロレン	ability1,ability2,ability3,ability4,description,abilities[]
f_36690	タマモEX	タマモEX	ability1,ability2,ability3,ability4,description,abilities[]
f_36667	ポセイドン	ポセイドン	ability1,ability2,ability3,description,abilities[]
f_36649	スルト	スルト	ability1,ability2,ability3,description,abilities[]
f_36643	ヘラの影	ヘラの影	ability1,ability2,ability3,ability4,description,abilities[]
f_36637	地獄の女王ヘラ	地獄の女王ヘラ	ability1,ability2,ability3,description,abilities[]
f_36655	弓の達人ロビン	弓の達人ロビン	ability1,ability2,ability3,ability4,description,abilities[]
f_18559	獅子王リヒャルダ	獅子王リヒャルダ	ability1,ability2,ability3,description,abilities[]
f_36625	鉄棒さん	鉄棒さん	ability1,ability2,ability3,description,abilities[]
f_36630	鉄棒しゃん	鉄棒しゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36582	カセットテープさん	カセットテープさん	ability1,ability2,ability3,ability4,description,abilities[]
f_36589	體操服ちゃん	體操服ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36577	豚貯金箱ちゃん	豚貯金箱ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36571	通学鞄ちゃん	通学鞄ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36595	復讐のポティ	復讐のポティ	ability1,ability2,ability3,description,abilities[]
f_36607	ラダマンティス	ラダマンティス	ability1,ability2,ability3,ability4,description,abilities[]
f_36497	ランドグリーズⅡ	ランドグリーズⅡ	ability1,ability2,ability3,description,abilities[]
f_36491	ルシフェルEX	ルシフェルEX	ability1,ability2,ability3,ability4,description,abilities[]
f_36485	Pナイフちゃん	Pナイフちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36478	注射器ペンちゃん	注射器ペンちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36467	ミルクチョコちゃん	ミルクチョコちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36461	しかけ絵本ちゃん	しかけ絵本ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36442	クリーナーちゃん	クリーナーちゃん	ability1,ability2,ability3,description,abilities[]
f_36449	交換日記ちゃん	交換日記ちゃん	ability1,ability2,ability3,description,abilities[]
f_36431	あぶらねんどちゃん	あぶらねんどちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36436	ゲーム電卓ちゃん	ゲーム電卓ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36406	ちりとりちゃん	ちりとりちゃん	ability1,ability2,ability3,description,abilities[]
f_36413	はたきちゃん	はたきちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36388	鉄棒ちゃん	鉄棒ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36401	レコードちゃん	レコードちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36425	ナディEX	ナディEX	ability1,ability2,ability3,ability4,description,abilities[]
f_36419	モニカEX	モニカEX	ability1,ability2,ability3,ability4,description,abilities[]
f_36376	ほうきちゃん	ほうきちゃん	ability1,ability2,ability3,description,abilities[]
f_36358	カレーライスちゃん	カレーライスちゃん	ability1,ability2,ability3,description,abilities[]
f_36364	ラインカーちゃん	ラインカーちゃん	ability1,ability2,ability3,description,abilities[]
f_36382	ヨーヨーちゃん	ヨーヨーちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36334	金色折り紙ちゃん	金色折り紙ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36328	銀色折り紙ちゃん	銀色折り紙ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36341	ジャンヌEX	貞德EX	name,ability1,ability2,ability3,ability4,description,abilities[]
f_36352	ヒュプノス	ヒュプノス	ability1,ability2,ability3,ability4,description,abilities[]
f_36316	ふでばこちゃん	ふでばこちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36322	独楽ちゃん	独楽ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36304	ものさしちゃん	ものさしちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36310	顕微鏡ちゃん	顕微鏡ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36286	Cテープちゃん	Cテープちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36280	鉛筆Bちゃん	鉛筆Bちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36244	チョークちゃん	チョークちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36256	銀玉鉄砲ちゃん	銀玉鉄砲ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_10280	フェニックス	フェニックス	ability1,description,abilities[]
f_36238	二段式ふでばこちゃん	二段式ふでばこちゃん	ability1,ability2,ability3,description,abilities[]
f_36250	机ちゃん	机ちゃん	ability1,ability2,ability3,description,abilities[]
f_10250	俊猿ターラカ	俊猿ターラカ	ability1,description,abilities[]
f_11317	フレイヤ	フレイヤ	ability1,description,abilities[]
f_36226	定規ちゃん	定規ちゃん	ability1,ability2,ability3,description,abilities[]
f_36232	鉛筆削りちゃん	鉛筆削りちゃん	ability1,ability2,description,abilities[]
f_36220	SPC自転車ちゃん	SPC自転車ちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36214	うわばきちゃん	うわばきちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_10316	女帝蜘蛛タラン	女帝蜘蛛タラン	description
f_36196	ハンカチちゃん	ハンカチちゃん	ability1,ability2,ability3,description,abilities[]
f_36208	赤青えんぴつちゃん	赤青えんぴつちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_10304	豊穣神デメテル	豊穣神デメテル	ability1,ability2,ability3,description,abilities[]
f_36190	ランドセルちゃん	ランドセルちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_36202	ノートちゃん	ノートちゃん	ability1,ability2,ability3,ability4,description,abilities[]
f_10244	禁足魔イネス	禁足魔イネス	ability1,ability2,ability3,ability4,description,abilities[]
f_36184	竜神イブラ	竜神イブラ	ability1,ability2,ability3,ability4,description,abilities[]
f_36172	百虎トワイ	百虎トワイ	ability1,ability2,ability3,ability4,description,abilities[]
f_36179	トワイ(獣化)	トワイ(獣化)	ability1,ability2,ability3,description,abilities[]
f_10190	熾炎の子ミンミ	熾炎の子ミンミ	ability1,ability2,description,abilities[]
f_36131	首なし海賊クラウス	首なし海賊クラウス	ability1,ability2,ability3,ability4,description,abilities[]
f_36125	ナイフ使いボニー	ナイフ使いボニー	ability1,ability2,ability3,description,abilities[]
f_10214	鋼鉄ローラン	鋼鉄ローラン	ability1,ability2,description,abilities[]
f_10298	呪われた宝箱	呪われた宝箱	ability1,description,abilities[]
f_36149	魔女っ獣ポティ	魔女っ獣ポティ	ability1,ability2,ability3,ability4,description,abilities[]
f_36136	暗黒公爵カース	暗黒公爵カース	ability1,ability2,ability3,description,abilities[]
f_31551	霜の使い	霜の使い	ability1,description,abilities[]
f_36161	銀竜姫アンジェ	銀竜姫アンジェ	ability1,ability2,ability3,description,abilities[]
f_36167	アンジェ(大人)	アンジェ(大人)	ability1,ability2,ability3,ability4,description,abilities[]
f_36142	精霊剣客ウォール	精霊剣客ウォール	ability1,ability2,ability3,ability4,description,abilities[]
f_31575	反乱扇動者スケル	反乱扇動者スケル	ability1,description,abilities[]
f_36118	幽霊船長デストロ	幽霊船長デストロ	ability1,ability2,ability3,ability4,description,abilities[]
f_36112	黒髭海賊ティーチ	黒髭海賊ティーチ	ability1,ability2,ability3,ability4,description,abilities[]
f_31527	惑わす者バルローン	惑わす者バルローン	ability1,description,abilities[]
f_36083	破戒剣ダース	破戒剣ダース	ability1,ability2,ability3,ability4,description,abilities[]
f_36089	破戒剣ダース(骨状態)	破戒剣ダース(骨状態)	ability1,description,abilities[]
f_36076	誉のミルシュ	誉のミルシュ	ability1,ability2,ability3,description,abilities[]
f_31503	人食い巨人ロッド	人食い巨人ロッド	description
f_36095	永遠の生命イズン	永遠の生命イズン	ability1,ability2,ability3,ability4,description,abilities[]
f_36101	リンゴの木	リンゴの木	ability1,ability2,ability3,description,abilities[]
f_36107	愛の女神フリッグ	愛の女神フリッグ	ability1,ability2,ability3,ability4,description,abilities[]
f_31479	追放者ウェイン	追放者ウェイン	ability1,ability2,description,abilities[]
f_36065	煌めきのイーナ	煌めきのイーナ	ability1,ability2,ability3,ability4,description,abilities[]
f_31455	無償の愛を持つ者	無償の愛を持つ者	ability1,ability2,ability3,description,abilities[]
f_36053	悪魔使いケルス	悪魔使いケルス	ability1,ability2,ability3,ability4,description,abilities[]
f_36059	ケルス(悪魔形態)	ケルス(悪魔形態)	ability1,ability2,ability3,ability4,description,abilities[]
f_31430	狂気の騎士コスタ	狂気の騎士コスタ	ability1,description,abilities[]
f_35005	謙遜	謙遜	ability1,ability2,description,abilities[]
f_36016	世界樹ラシル	世界樹ラシル	ability1,ability2,ability3,ability4,description,abilities[]
f_31406	十字砲火の王	十字砲火の王	ability1,description,abilities[]
f_36035	竜戦姫マイコ	竜戦姫マイコ	ability1,ability2,ability3,ability4,description,abilities[]
f_36041	マイコ(竜形態)	マイコ(竜形態)	ability1,ability2,ability3,ability4,description,abilities[]
f_36028	親衛隊長ドルーガ	親衛隊長ドルーガ	ability1,ability2,ability3,ability4,description,abilities[]
f_31382	占い師イズミル	占い師イズミル	ability1,ability2,description,abilities[]
f_36004	双刀千刃ハスハラム	双刀千刃ハスハラム	ability1,ability2,ability3,ability4,description,abilities[]
f_22996	氷柱花ルシフェリア	氷柱花ルシフェリア	ability1,ability2,ability3,ability4,description,abilities[]
f_36010	狐巫女レナ	狐巫女レナ	ability1,ability2,ability3,ability4,description,abilities[]
f_22990	名門騎士アルセナ	名門騎士アルセナ	ability1,ability2,description,abilities[]
f_22978	天使伯ヴァルト	天使伯ヴァルト	ability1,ability2,ability3,ability4,description,abilities[]
f_22984	銃火姫アーマダ	銃火姫アーマダ	ability1,ability2,ability3,ability4,description,abilities[]
f_22961	執行者ゼクエ	執行者ゼクエ	ability1,ability2,ability3,ability4,description,abilities[]
f_22967	ゼクエ(悪魔形態)	ゼクエ(悪魔形態)	ability1,ability2,ability3,ability4,description,abilities[]
f_31287	ドリフターレビン	ドリフターレビン	ability1,description,abilities[]
f_22972	傭士マーヤ	傭士マーヤ	ability1,ability2,ability3,ability4,description,abilities[]
f_22949	聖慈プリルー	聖慈プリルー	ability1,ability2,description,abilities[]
f_22954	天妃マリエッタ	天妃マリエッタ	ability1,ability2,ability3,ability4,description,abilities[]
f_31310	不滅のナターシャ	不滅のナターシャ	ability1,ability2,description,abilities[]
f_22943	水巫エレミー	水巫エレミー	ability1,ability2,ability3,ability4,description,abilities[]
f_22936	狂乱の貴婦人ベル	狂乱の貴婦人ベル	ability1,ability2,ability3,description,abilities[]
f_31239	地獄の使者ソロ	地獄の使者ソロ	ability1,description,abilities[]
f_22925	龍使ロレッタ	龍使ロレッタ	ability1,ability2,ability3,description,abilities[]
f_22931	ロレッタ(竜形態)	ロレッタ(竜形態)	ability1,ability2,ability3,ability4,description,abilities[]
f_22918	闇医師ジャクリン	闇医師ジャクリン	ability1,ability2,ability3,description,abilities[]
f_31263	ブラッドドラゴン	ブラッドドラゴン	ability1,description,abilities[]
f_22906	セイレーン	セイレーン	ability1,ability2,ability3,description,abilities[]
f_22912	王の中の王モゼス	王の中の王モゼス	ability1,ability2,ability3,description,abilities[]
f_31215	武装戦闘集団の長	武装戦闘集団の長	ability1,ability2,description,abilities[]
f_22894	ミス・ミュラー	ミス・ミュラー	ability1,ability2,ability3,description,abilities[]
f_22900	アルフレドJr.	アルフレドJr.	ability1,ability2,ability3,description,abilities[]
f_31191	全知全能のニリス	全知全能のニリス	ability1,ability2,description,abilities[]
f_22846	エイダ・アイリーン	エイダ・アイリーン	ability1,ability2,ability3,description,abilities[]
f_22852	アリソン・クレア	アリソン・クレア	ability1,ability2,description,abilities[]
f_22858	司教エイミー	司教エイミー	ability1,ability2,ability3,description,abilities[]
f_31167	戦団長デレク	戦団長デレク	ability1,ability2,description,abilities[]
f_22889	従者ユリアーナ	従者ユリアーナ	ability1,ability2,ability3,description,abilities[]
f_22870	異界チャーリー	異界チャーリー	ability1,ability2,description,abilities[]
f_22876	チャーリーの影	チャーリーの影	ability1,description,abilities[]
f_22882	もう一人のチャーリー	もう一人のチャーリー	ability1,ability2,description,abilities[]
f_22864	魔の女アメリア	魔の女アメリア	ability1,ability2,description,abilities[]
f_31142	機知王ギズボーン	機知王ギズボーン	ability1,ability2,description,abilities[]
f_31118	猛怒竜アジュダハ	猛怒竜アジュダハ	ability1,description,abilities[]
f_22841	漆黒のヘルミザリ	漆黒のヘルミザリ	ability1,ability2,ability3,ability4,description,abilities[]
f_22834	剣獄のガディア	剣獄のガディア	ability1,ability2,ability3,ability4,description,abilities[]
f_22822	堕剣ヘルリエン	堕剣ヘルリエン	ability1,ability2,ability3,ability4,description,abilities[]
f_31070	深淵の悪鬼レーグ	深淵の悪鬼レーグ	ability1,description,abilities[]
f_31094	徴魂司アルタリ	徴魂司アルタリ	ability1,description,abilities[]
f_22799	秩序メイ・リン	秩序メイ・リン	ability1,ability2,ability3,description,abilities[]
f_22810	連突ダ・シンバ	連突ダ・シンバ	ability1,description,abilities[]
f_22816	業炎ラ・ミア	業炎ラ・ミア	ability1,ability2,description,abilities[]
f_31046	玲蝶女王ナリッサ	玲蝶女王ナリッサ	ability1,ability2,ability3,description,abilities[]
f_31022	神鋒アイギス	神鋒アイギス	ability1,ability2,description,abilities[]
f_22769	裁く者マアト	裁く者マアト	ability1,ability2,ability3,description,abilities[]
f_22774	護る者ワジェト	護る者ワジェト	ability1,ability2,ability3,description,abilities[]
f_22786	恨む者セクメト	恨む者セクメト	ability1,ability2,description,abilities[]
f_22793	魅惑のエミリア	魅惑のエミリア	ability1,ability2,ability3,description,abilities[]
f_22756	死神デューク	死神デューク	ability1,ability2,ability3,description,abilities[]
f_22762	痛恨のルシエル	痛恨のルシエル	ability1,ability2,ability3,description,abilities[]
f_22733	疾駆の勇士ルフラン	疾駆の勇士ルフラン	ability1,ability2,ability3,description,abilities[]
f_22738	羽衣天女レイア	羽衣天女レイア	ability1,ability2,ability3,description,abilities[]
f_22744	神聖学者マリーン	神聖学者マリーン	ability1,ability2,description,abilities[]
f_13214	贖罪のアレグレン	贖罪のアレグレン	ability1,ability2,description,abilities[]
f_22727	ふぇりす	ふぇりす	ability1,ability2,description,abilities[]
f_22714	かえで	かえで	ability1,ability2,ability3,description,abilities[]
f_22720	ほたる	ほたる	ability1,ability2,description,abilities[]
f_22697	セリナ	セリナ	ability1,ability2,ability3,ability4,description,abilities[]
f_22702	ルウカ	ルウカ	ability1,ability2,description,abilities[]
f_22708	ラミア	ラミア	ability1,ability2,description,abilities[]
f_22685	ククリヒメEX	ククリヒメEX	ability1,ability2,description,abilities[]
f_22690	振り袖のサキEX	振り袖のサキEX	ability1,ability2,ability3,description,abilities[]
